"Data Source","World Development Indicators",

"Last Updated Date","2016-04-11",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Euro area","EMU","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.63855","","4.62058","5.26281","","4.04716","3.5239","","3.14897","","2.127","","","","","","","","","",
"Spain","ESP","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","1.838","1.89443","2.07027","","1.46353","","1.90457","2.08282","2.2368","2.34442","","","","","","","","3.1367","3.33737","3.56145","3.64349","3.75254","3.84761","4.25645","4.49689","4.44671","4.46852","","4.30296","4.27052","4.17637","4.11988","4.13603","4.16717","4.14829","4.13003","4.16759","4.23332","4.50101","4.86779","4.81922","4.84507","4.36743","","","",
"Estonia","EST","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.08896","6.11469","6.4572","6.30887","6.70094","5.34045","5.24616","5.47872","5.30094","4.91245","4.84576","","4.66549","5.5196","5.95738","5.5298","5.09808","4.79262","","","",
"Ethiopia","ETH","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","2.11235","2.30206","2.11203","2.33757","2.13795","","","","","","","2.35421","","","2.77462","2.75794","","","3.98311","3.70029","3.63245","","","","5.49096","5.45113","5.4082","4.42207","4.49659","","","4.49855","","",
"European Union","EUU","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","5.40947","5.32744","5.00449","5.08959","4.47897","5.02949","5.22444","","","4.79336","4.82217","4.82994","4.77616","4.85175","4.69558","5.04196","5.09658","5.19813","5.06491","5.07036","5.33591","6.33289","6.51512","7.48367","6.85563","6.80942","6.86053","","","5.86961","5.71688","5.84797","6.02478","6.17477","6.1685","6.03606","5.9381","5.68609","5.84677","6.48518","6.54071","6.48201","7.19254","","","",
"Fiji","FJI","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","5.19761","","5.82011","","6.48669","","","","","","4.8311","","","","","","","","","5.51262","5.15351","5.85725","5.61714","6.24382","","6.16493","5.12197","5.60714","5.84843","4.25357","4.49848","","4.31967","","4.22044","","",
"France","FRA","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","3.4184","3.16281","3.3462","3.21845","4.22762","4.41425","4.41178","4.42244","4.3325","4.26809","4.29399","4.71512","4.83583","4.83522","4.84958","4.83358","4.6892","4.60277","4.52404","4.43515","4.49228","4.81744","4.71099","5.39988","5.5957","5.75908","5.72616","","5.65912","5.64529","5.51673","5.41704","5.40916","5.72295","5.63702","5.49981","5.44211","5.44519","5.44403","5.73849","5.68342","5.51584","5.53344","","","",
"Faroe Islands","FRO","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.40977","6.70818","","","","","","","","","","","","","","","",
"Gabon","GAB","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.80552","","","","","","3.41966","3.08123","3.82709","","","","","","","","","","","","","","","",
